,fname1,fname2,distance,runtime
293,K01419_fitch.gr,K03636_genesis.gr,7,0.002424955368041992
294,K01419_fitch.gr,K04068_sankoff.gr,9,0.0019512176513671875
295,K01419_fitch.gr,K02275_genesis.gr,5,0.0014202594757080078
296,K01419_fitch.gr,K00632_fitch.gr,11,0.0016443729400634766
297,K01419_fitch.gr,K13628_fitch.gr,5,0.0015079975128173828
298,K01419_fitch.gr,K00254_fitch.gr,6,0.001634836196899414
299,K01419_fitch.gr,K00164_genesis.gr,5,0.00457453727722168
300,K01419_fitch.gr,K01011_genesis.gr,6,0.003160238265991211
301,K01419_fitch.gr,K00135_sankoff.gr,10,0.0019686222076416016
302,K01419_fitch.gr,K01772_genesis.gr,9,0.0016894340515136719
303,K01419_fitch.gr,K06886_fitch.gr,8,0.0043256282806396484
304,K01419_fitch.gr,K02259_sankoff.gr,6,0.0032629966735839844
305,K01419_fitch.gr,K21636_fitch.gr,12,0.0022802352905273438
306,K01419_fitch.gr,K02257_genesis.gr,6,0.0016200542449951172
307,K01419_fitch.gr,K03179_sankoff.gr,7,0.0031540393829345703
308,K01419_fitch.gr,K00627_genesis.gr,6,0.0035915374755859375
309,K01419_fitch.gr,K07133_fitch.gr,12,0.0016369819641113281
310,K01419_fitch.gr,K01255_fitch.gr,12,0.001752614974975586
311,K01419_fitch.gr,K02221_fitch.gr,8,0.00261688232421875
312,K01419_fitch.gr,K08303_fitch.gr,13,0.002507448196411133
313,K01419_fitch.gr,K01011_fitch.gr,10,0.0017654895782470703
314,K01419_fitch.gr,K07152_fitch.gr,6,0.0015096664428710938
315,K01419_fitch.gr,K00228_genesis.gr,4,0.0013623237609863281
316,K01419_fitch.gr,K00162_sankoff.gr,7,0.0030155181884765625
317,K01419_fitch.gr,K03737_sankoff.gr,5,0.002800464630126953
318,K01419_fitch.gr,K07146_genesis.gr,7,0.002009153366088867
319,K01419_fitch.gr,K03667_genesis.gr,0,0.0015037059783935547
320,K01419_fitch.gr,K03635_genesis.gr,7,0.0015342235565185547
321,K01419_fitch.gr,K00262_genesis.gr,5,0.0014889240264892578
322,K01419_fitch.gr,K17828_fitch.gr,13,0.0028710365295410156
323,K01419_fitch.gr,K01255_genesis.gr,4,0.0025167465209960938
324,K01419_fitch.gr,K01772_sankoff.gr,10,0.0017147064208984375
325,K01419_fitch.gr,K00573_fitch.gr,4,0.001524209976196289
326,K01419_fitch.gr,K01589_sankoff.gr,9,0.001477956771850586
327,K01419_fitch.gr,K01419_sankoff.gr,0,0.0026493072509765625
328,K01419_fitch.gr,K06886_sankoff.gr,6,0.003152132034301758
329,K01419_fitch.gr,K01493_genesis.gr,4,0.0020656585693359375
330,K01419_fitch.gr,K03074_fitch.gr,11,0.0015594959259033203
331,K01419_fitch.gr,K21636_genesis.gr,6,0.0015103816986083984
332,K01419_fitch.gr,K03179_fitch.gr,7,0.001409769058227539
333,K01419_fitch.gr,K08303_genesis.gr,6,0.002896547317504883
334,K01419_fitch.gr,K00228_fitch.gr,4,0.0026874542236328125
335,K01419_fitch.gr,K07133_genesis.gr,9,0.0015385150909423828
336,K01419_fitch.gr,K01903_fitch.gr,11,0.0015358924865722656
337,K01419_fitch.gr,K02257_sankoff.gr,6,0.0014736652374267578
338,K01419_fitch.gr,K03635_sankoff.gr,6,0.0027136802673339844
339,K01419_fitch.gr,K00627_fitch.gr,8,0.003102540969848633
340,K01419_fitch.gr,K01493_fitch.gr,10,0.0020775794982910156
341,K01419_fitch.gr,K02823_fitch.gr,13,0.0014710426330566406
342,K01419_fitch.gr,K07152_genesis.gr,6,0.0015513896942138672
343,K01419_fitch.gr,K03636_sankoff.gr,6,0.0015003681182861328
344,K01419_fitch.gr,K02259_genesis.gr,6,0.0026006698608398438
345,K01419_fitch.gr,K00161_genesis.gr,7,0.002420186996459961
346,K01419_fitch.gr,K01011_sankoff.gr,7,0.0016326904296875
347,K01419_fitch.gr,K01724_fitch.gr,7,0.0014271736145019531
348,K01419_fitch.gr,K03667_fitch.gr,0,0.001505136489868164
349,K01419_fitch.gr,K00135_genesis.gr,5,0.0030002593994140625
350,K01419_fitch.gr,K00573_sankoff.gr,4,0.00270843505859375
351,K01419_fitch.gr,K01903_genesis.gr,8,0.002056121826171875
352,K01419_fitch.gr,K03737_fitch.gr,14,0.001512765884399414
353,K01419_fitch.gr,K13628_sankoff.gr,5,0.0015110969543457031
354,K01419_fitch.gr,K06886_genesis.gr,6,0.0013866424560546875
355,K01419_fitch.gr,K04068_genesis.gr,6,0.0016384124755859375
356,K01419_fitch.gr,K02275_fitch.gr,7,0.0021295547485351562
357,K01419_fitch.gr,K01638_fitch.gr,8,0.0021409988403320312
358,K01419_fitch.gr,K07152_sankoff.gr,6,0.0016887187957763672
359,K01419_fitch.gr,K01724_sankoff.gr,7,0.001394033432006836
360,K01419_fitch.gr,K01493_sankoff.gr,5,0.0014171600341796875
361,K01419_fitch.gr,K00161_sankoff.gr,7,0.0027284622192382812
362,K01419_fitch.gr,K17828_genesis.gr,5,0.0028717517852783203
363,K01419_fitch.gr,K02823_genesis.gr,5,0.001981973648071289
364,K01419_fitch.gr,K17828_sankoff.gr,6,0.001447439193725586
365,K01419_fitch.gr,K00164_fitch.gr,5,0.0020542144775390625
366,K01419_fitch.gr,K02274_fitch.gr,7,0.002741098403930664
367,K01419_fitch.gr,K00632_genesis.gr,6,0.0024933815002441406
368,K01419_fitch.gr,K03980_genesis.gr,4,0.002263307571411133
369,K01419_fitch.gr,K00627_sankoff.gr,6,0.0016613006591796875
370,K01419_fitch.gr,K02274_genesis.gr,5,0.0015468597412109375
371,K01419_fitch.gr,K03635_fitch.gr,10,0.0014302730560302734
372,K01419_fitch.gr,K07146_fitch.gr,7,0.0017361640930175781
373,K01419_fitch.gr,K03820_sankoff.gr,7,0.0026264190673828125
374,K01419_fitch.gr,K00135_fitch.gr,15,0.0024280548095703125
375,K01419_fitch.gr,K01669_genesis.gr,6,0.001718282699584961
376,K01419_fitch.gr,K03179_genesis.gr,7,0.0015192031860351562
377,K01419_fitch.gr,K00162_genesis.gr,7,0.0014066696166992188
378,K01419_fitch.gr,K00161_fitch.gr,7,0.0029494762420654297
379,K01419_fitch.gr,K13628_genesis.gr,5,0.002523660659790039
380,K01419_fitch.gr,K01724_genesis.gr,7,0.0022509098052978516
